Username;Game;In-game-time;Date
Acilith;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 14m 31s 917ms (in-game time) (54th place);14m 31s 917ms ();2021-04-28
Acilith;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 56s 150ms (in-game time) (- place);16m 56s 150ms ();2021-03-15
Acilith;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 20m 17s 350ms (in-game time) (- place);20m 17s 350ms ();2021-02-25
Acilith;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 23m 46s 950ms (in-game time) (- place);23m 46s 950ms ();2021-02-14
Acilith;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 21s 100ms (in-game time) (- place);25m 21s 100ms ();2021-01-17
Acilith;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 27m 47s 056ms (in-game time) (- place);27m 47s 056ms ();2020-12-06
actwashere;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 30s 200ms (in-game time) (417th place);19m 30s 200ms ();2021-03-21
actwashere;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 04s 020ms (in-game time) (- place);24m 04s 020ms ();2021-02-28
ADAMOS26;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 18m 55s 650ms (in-game time) (361st place);18m 55s 650ms ();2021-04-02
ADAMOS26;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 22m 19s 900ms (in-game time) (- place);22m 19s 900ms ();2021-03-09
AdamVonBadam;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 00s 800ms (in-game time) (120th place);16m 00s 800ms ();2021-05-26
AdamVonBadam;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 18s (in-game time) (- place);21m 18s ();2021-04-25
