Rank,Player,Real time,In-game time,Version,Difficulty,F3,Mods,Date,Unnamed: 9,Unnamed: 10,Unnamed: 11,userlink
1st,TheeSizzler,11m 20s 233ms,11m 07s,11m 07s (in-game time),1.16.1,Normal,F3,CaffeineMC,6 days ago,,,https://www.speedrun.com/user/TheeSizzler
2nd,fe666,12m 37s 483ms,11m 50s 967ms,11m 50s 967ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 week ago,,,https://www.speedrun.com/user/fe666
3rd,TwoLetterName,12m 15s 783ms,12m 09s 817ms,12m 09s 817ms (in-game time),1.16.1,Normal,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/TwoLetterName
4th,ninjabrain1,14m 05s 430ms,13m 41s 300ms,13m 41s 300ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/ninjabrain1
5th,TheBlazer97,14m 11s 883ms,13m 43s 250ms,13m 43s 250ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/TheBlazer97
6th,Illumina,13m 58s,13m 53s,13m 53s (in-game time),1.16.1,Normal,No F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Illumina
7th,reignex,14m 20s,14m 07s,14m 07s (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/reignex
7th,zylenox,14m 20s,14m 07s,14m 07s (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/zylenox
9th,Feinberg,14m 17s 983ms,14m 10s 033ms,14m 10s 033ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/Feinberg
10th,Dav1E,14m 33s 317ms,14m 16s 716ms,14m 16s 716ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Dav1E
11th,MinecrAvenger,14m 28s,14m 20s 800ms,14m 20s 800ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/MinecrAvenger
12th,mikeyboytv,14m 51s 360ms,14m 26s 597ms,14m 26s 597ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/mikeyboytv
13th,Couriway,14m 39s 520ms,14m 36s 500ms,14m 36s 500ms (in-game time),1.16.1,Normal,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/Couriway
14th,Dylqn,15m 01s 400ms,14m 39s 234ms,14m 39s 234ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/Dylqn
15th,Korbanoes,15m 12s 970ms,14m 56s 800ms,14m 56s 800ms (in-game time),1.16.1,Normal,F3,Vanilla,5 months ago,,,https://www.speedrun.com/user/Korbanoes
16th,g4v1ng72,15m 24s,15m 12s 384ms,15m 12s 384ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/g4v1ng72
17th,JebFromGameHouse,15m 17s 817ms,15m 14s 383ms,15m 14s 383ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/JebFromGameHouse
18th,Hamazon,15m 31s 760ms,15m 16s 150ms,15m 16s 150ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Hamazon
19th,Maljack,15m 39s 094ms,15m 18s 267ms,15m 18s 267ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Maljack
20th,Cube1337x,15m 29s 580ms,15m 18s 350ms,15m 18s 350ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/Cube1337x
21st,NiceTwice,15m 37s,15m 29s,15m 29s (in-game time),1.16.1,Normal,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/NiceTwice
22nd,CredAhead,15m 40s 560ms,15m 31s 233ms,15m 31s 233ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/CredAhead
23rd,Dowsky,15m 51s 040ms,15m 44s 100ms,15m 44s 100ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/Dowsky
24th,21mustard,15m 56s 300ms,15m 46s 600ms,15m 46s 600ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/21mustard
25th,AutomattPL,16m 24s,15m 57s,15m 57s (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/AutomattPL
26th,Scar,16m 45s 350ms,16m 04s 050ms,16m 04s 050ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/Scar
27th,nieuh,16m 21s 800ms,16m 05s 167ms,16m 05s 167ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/nieuh
28th,suravil,16m 22s 100ms,16m 06s 667ms,16m 06s 667ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/suravil
29th,lackingtoast,16m 28s 530ms,16m 09s,16m 09s (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/lackingtoast
30th,Spropl,16m 43s 633ms,16m 15s 030ms,16m 15s 030ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/Spropl
31st,UmidoMC,16m 27s 333ms,16m 16s 947ms,16m 16s 947ms (in-game time),1.16.1,Easy,F3,Vanilla,2 weeks ago,,,https://www.speedrun.com/user/UmidoMC
32nd,Horsey,17m 24s 217ms,16m 21s 234ms,16m 21s 234ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Horsey
33rd,PodX12,16m 36s 667ms,16m 25s 633ms,16m 25s 633ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/PodX12
34th,Shell_Guy,16m 55s 430ms,16m 27s 600ms,16m 27s 600ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Shell_Guy
35th,Eliborate,16m 50s 270ms,16m 37s 150ms,16m 37s 150ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Eliborate
36th,nerdi,17m 01s 817ms,16m 37s 318ms,16m 37s 318ms (in-game time),1.16.1,Normal,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/nerdi
37th,ImpulseFun,16m 41s 008ms,16m 38s,16m 38s (in-game time),1.16.1,Easy,F3,Vanilla,3 months ago,,,https://www.speedrun.com/user/ImpulseFun
37th,Strick_Nine_TV,16m 54s 300ms,16m 38s,16m 38s (in-game time),1.16.1,Easy,F3,CaffeineMC,1 week ago,,,https://www.speedrun.com/user/Strick_Nine_TV
39th,Funderful_TV,16m 45s 050ms,16m 40s 850ms,16m 40s 850ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Funderful_TV
40th,EleventyBillion,17m 00s 310ms,16m 41s 850ms,16m 41s 850ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/EleventyBillion
41st,k4yfour,17m 19s 067ms,16m 42s 850ms,16m 42s 850ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/k4yfour
42nd,Toph033,16m 59s 340ms,16m 46s 550ms,16m 46s 550ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Toph033
43rd,shdodude,16m 55s 640ms,16m 47s 200ms,16m 47s 200ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/shdodude
44th,Dani_,16m 50s 540ms,16m 47s 500ms,16m 47s 500ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Dani_
45th,Hoffik,17m 29s 040ms,16m 50s 700ms,16m 50s 700ms (in-game time),1.16.1,Normal,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/Hoffik
46th,Zayahh,17m 07s 450ms,16m 50s 983ms,16m 50s 983ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Zayahh
47th,MultiPorl,17m 00s,16m 55s 050ms,16m 55s 050ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/MultiPorl
48th,SuperC,17m 41s 517ms,16m 57s 552ms,16m 57s 552ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/SuperC
49th,7rowl,17m 22s 051ms,17m 04s 617ms,17m 04s 617ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/7rowl
50th,hary0tt,17m 19s 150ms,17m 04s 900ms,17m 04s 900ms (in-game time),1.16.1,Normal,F3,CaffeineMC,5 days ago,,,https://www.speedrun.com/user/hary0tt
51st,Yoopicul,18m 25s 100ms,17m 10s 100ms,17m 10s 100ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Yoopicul
52nd,realbenex,17m 07s 930ms,17m 13s 400ms,17m 13s 400ms (in-game time),1.16.1,Normal,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/realbenex
53rd,ToXicFl0w,17m 22s 710ms,17m 15s 899ms,17m 15s 899ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/ToXicFl0w
54th,KeyBoardAbuser,17m 23s 090ms,17m 17s 850ms,17m 17s 850ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/KeyBoardAbuser
55th,SNooFL,17m 27s 510ms,17m 18s 350ms,17m 18s 350ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/SNooFL
56th,Fyroah,17m 36s 530ms,17m 18s 500ms,17m 18s 500ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Fyroah
57th,nEmerald,17m 34s 140ms,17m 21s 650ms,17m 21s 650ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/nEmerald
58th,NotAnEzRandy,17m 48s 741ms,17m 21s 800ms,17m 21s 800ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/NotAnEzRandy
59th,MoleyG,17m 31s 130ms,17m 22s 250ms,17m 22s 250ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/MoleyG
60th,Dimeax,17m 29s 001ms,17m 26s,17m 26s (in-game time),1.16.1,Easy,F3,Vanilla,6 months ago,,,https://www.speedrun.com/user/Dimeax
61st,Semperzz,17m 43s 070ms,17m 26s 750ms,17m 26s 750ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Semperzz
62nd,Kunaxe,17m 32s 280ms,17m 28s 400ms,17m 28s 400ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Kunaxe
63rd,Dratinia,17m 57s 400ms,17m 29s 200ms,17m 29s 200ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Dratinia
64th,egeorge7,18m 14s 720ms,17m 30s 850ms,17m 30s 850ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/egeorge7
65th,Kuee,19m 02s 700ms,17m 31s 600ms,17m 31s 600ms (in-game time),,,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/Kuee
66th,Firework,17m 50s 025ms,17m 34s 065ms,17m 34s 065ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 week ago,,,https://www.speedrun.com/user/Firework
67th,PeteZahHutt,17m 36s 490ms,17m 34s 100ms,17m 34s 100ms (in-game time),1.16.1,Normal,F3,Vanilla,2 weeks ago,,,https://www.speedrun.com/user/PeteZahHutt
68th,Tchongass,17m 36s 667ms,17m 34s 367ms,17m 34s 367ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Tchongass
69th,pluginL,17m 40s 840ms,17m 37s 800ms,17m 37s 800ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/pluginL
70th,TheTalkingMime,17m 44s 740ms,17m 40s 900ms,17m 40s 900ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/TheTalkingMime
71st,Granat,18m 00s 630ms,17m 41s 900ms,17m 41s 900ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/Granat
72nd,SmallestBeanie,18m 25s,17m 42s 650ms,17m 42s 650ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/SmallestBeanie
73rd,Vadikus007,17m 46s 190ms,17m 42s 700ms,17m 42s 700ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Vadikus007
74th,botmet,17m 59s 220ms,17m 46s 300ms,17m 46s 300ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/botmet
75th,CroProYT,18m 05s 250ms,17m 46s 950ms,17m 46s 950ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/CroProYT
76th,baragona,17m 56s 480ms,17m 52s 200ms,17m 52s 200ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/baragona
77th,nwolc,18m 02s 080ms,17m 52s 800ms,17m 52s 800ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/nwolc
78th,Jigjester,18m 02s 420ms,17m 53s 650ms,17m 53s 650ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Jigjester
79th,StainlessSteel,19m 41s 720ms,17m 53s 799ms,17m 53s 799ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/StainlessSteel
80th,felipebtw,17m 54s 600ms,17m 54s 850ms,17m 54s 850ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/felipebtw
81st,DECTHEELITE,19m 00s 400ms,17m 57s 850ms,17m 57s 850ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/DECTHEELITE
82nd,tekniik,18m 44s 810ms,17m 58s 899ms,17m 58s 899ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/tekniik
83rd,Xx0MrGamer0xX,18m 10s 470ms,18m 10s 450ms,18m 10s 450ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Xx0MrGamer0xX
84th,Crookst,18m 17s 740ms,18m 13s 350ms,18m 13s 350ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Crookst
85th,macell,18m 34s 170ms,18m 14s 150ms,18m 14s 150ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/macell
86th,ADANDOC,18m 34s 010ms,18m 16s 100ms,18m 16s 100ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/ADANDOC
87th,thebuggy9000,18m 40s 700ms,18m 21s 900ms,18m 21s 900ms (in-game time),1.16.1,Easy,F3,Vanilla,3 weeks ago,,,https://www.speedrun.com/user/thebuggy9000
88th,Elysaku,18m 26s 480ms,18m 24s 100ms,18m 24s 100ms (in-game time),1.16.1,Hardcore,No F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/Elysaku
89th,Aspect30,18m 24s 520ms,18m 24s 250ms,18m 24s 250ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Aspect30
90th,ItsssLolo,18m 27s 950ms,18m 27s 500ms,18m 27s 500ms (in-game time),1.16.1,Easy,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/ItsssLolo
91st,Corobo,18m 52s 330ms,18m 28s 450ms,18m 28s 450ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/Corobo
92nd,Quivern,18m 31s 930ms,18m 30s 700ms,18m 30s 700ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/Quivern
93rd,VenfyTheKiller,18m 42s 610ms,18m 31s 300ms,18m 31s 300ms (in-game time),1.16.1,Normal,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/VenfyTheKiller
94th,pure9243,20m 17s 170ms,18m 33s 400ms,18m 33s 400ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/pure9243
95th,Tookann,18m 38s 430ms,18m 34s 500ms,18m 34s 500ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Tookann
96th,plr,18m 50s 020ms,18m 35s,18m 35s (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/plr
97th,MalonMusk,19m 44s 170ms,18m 35s 150ms,18m 35s 150ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/MalonMusk
98th,GDTaffel,18m 59s 007ms,18m 35s 334ms,18m 35s 334ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/GDTaffel
99th,LucPerecOgurec,18m 46s 040ms,18m 37s 150ms,18m 37s 150ms (in-game time),1.16.1,Hardcore,No F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/LucPerecOgurec
100th,Ontricus,18m 46s 800ms,18m 38s,18m 38s (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/Ontricus
101st,DougThePig,18m 52s 210ms,18m 40s 500ms,18m 40s 500ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/DougThePig
102nd,_Arctic_,18m 50s 090ms,18m 40s 600ms,18m 40s 600ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/_Arctic_
103rd,davidsochill,19m 09s 910ms,18m 44s 050ms,18m 44s 050ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/davidsochill
104th,silverdrmario,18m 50s 320ms,18m 45s 700ms,18m 45s 700ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/silverdrmario
105th,Danger1451,18m 45s 060ms,18m 45s 750ms,18m 45s 750ms (in-game time),1.16.1,Normal,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/Danger1451
106th,knau,19m 29s 190ms,18m 47s 500ms,18m 47s 500ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/knau
107th,7Pixels,19m 08s 790ms,18m 47s 750ms,18m 47s 750ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/7Pixels
108th,DoyPingu,19m 08s 780ms,18m 48s 450ms,18m 48s 450ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/DoyPingu
109th,ripfc,18m 58s 140ms,18m 50s 750ms,18m 50s 750ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/ripfc
110th,karelkop,19m 14s 680ms,18m 54s,18m 54s (in-game time),1.16.1,Normal,F3,CaffeineMC,1 week ago,,,https://www.speedrun.com/user/karelkop
111th,petr1234,19m 10s 600ms,18m 54s 033ms,18m 54s 033ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/petr1234
112th,Zoteck,19m 15s 300ms,18m 54s 050ms,18m 54s 050ms (in-game time),1.16.1,Normal,No F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Zoteck
113th,Trizek,21m 48s 980ms,18m 56s,18m 56s (in-game time),1.16.1,Easy,F3,Vanilla,1 week ago,,,https://www.speedrun.com/user/Trizek
114th,SpectroPlayer,19m 07s 960ms,18m 57s 100ms,18m 57s 100ms (in-game time),1.16.1,Easy,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/SpectroPlayer
115th,Blazeboar,19m 17s,18m 57s 600ms,18m 57s 600ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Blazeboar
116th,draconix,19m 18s 760ms,18m 58s 650ms,18m 58s 650ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/draconix
117th,Buration,19m 37s 940ms,19m 00s 500ms,19m 00s 500ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/Buration
118th,Silentmotorboat,19m 28s,19m 04s 800ms,19m 04s 800ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/Silentmotorboat
119th,Comprex,19m 11s 690ms,19m 05s 780ms,19m 05s 780ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Comprex
120th,blackmagic556,19m 41s 060ms,19m 07s 300ms,19m 07s 300ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/blackmagic556
121st,sockmonkey747,19m 53s 200ms,19m 08s 150ms,19m 08s 150ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/sockmonkey747
122nd,KyuRyuos,19m 09s 086ms,19m 09s 045ms,19m 09s 045ms (in-game time),1.16.1,Hardcore,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/KyuRyuos
123rd,MiGor,20m 51s 220ms,19m 09s 200ms,19m 09s 200ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/MiGor
124th,Haama,19m 14s 190ms,19m 09s 300ms,19m 09s 300ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Haama
125th,Fulham,19m 45s 310ms,19m 09s 900ms,19m 09s 900ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Fulham
126th,TobiaszGaming,19m 17s 880ms,19m 11s 850ms,19m 11s 850ms (in-game time),1.16.1,Normal,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/TobiaszGaming
127th,alanispro,19m 31s 100ms,19m 12s 350ms,19m 12s 350ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/alanispro
128th,MeisterMaki,19m 22s 530ms,19m 12s 950ms,19m 12s 950ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/MeisterMaki
129th,Unknwon,19m 55s 170ms,19m 13s 500ms,19m 13s 500ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Unknwon
130th,Bellex,19m 13s 683ms,19m 13s 683ms,19m 13s 683ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Bellex
131st,nebrula,19m 19s 270ms,19m 15s 100ms,19m 15s 100ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/nebrula
132nd,Qnly_qdm,19m 36s 020ms,19m 16s 250ms,19m 16s 250ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Qnly_qdm
133rd,Krypticphox,19m 56s 030ms,19m 16s 600ms,19m 16s 600ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Krypticphox
134th,simbala,19m 29s 190ms,19m 17s 300ms,19m 17s 300ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/simbala
135th,Heaven24x,19m 39s 540ms,19m 19s 550ms,19m 19s 550ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Heaven24x
136th,JBCBOSS,19m 40s 288ms,19m 20s 300ms,19m 20s 300ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 week ago,,,https://www.speedrun.com/user/JBCBOSS
137th,MathoX,19m 24s 010ms,19m 21s 170ms,19m 21s 170ms (in-game time),1.16.1,Normal,No F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/MathoX
138th,Slackow,19m 30s 850ms,19m 23s 500ms,19m 23s 500ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Slackow
139th,Botulinum,19m 56s 490ms,19m 29s 600ms,19m 29s 600ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Botulinum
140th,Mishbanya,20m 23s 150ms,19m 29s 850ms,19m 29s 850ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Mishbanya
141st,ItzFoxey,19m 42s,19m 30s 550ms,19m 30s 550ms (in-game time),1.16.1,Easy,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/ItzFoxey
142nd,Punz,19m 42s 034ms,19m 31s 283ms,19m 31s 283ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Punz
143rd,s8ris,20m 17s 570ms,19m 32s 950ms,19m 32s 950ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/s8ris
144th,bratles,20m 42s,19m 33s 100ms,19m 33s 100ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/bratles
145th,Parts,20m 21s 790ms,19m 33s 400ms,19m 33s 400ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Parts
146th,qam022,20m 01s 800ms,19m 34s 050ms,19m 34s 050ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/qam022
147th,Decavex,20m 14s 740ms,19m 35s 200ms,19m 35s 200ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/Decavex
148th,Maorro,19m 51s 550ms,19m 35s 450ms,19m 35s 450ms (in-game time),1.16.1,Normal,F3,Vanilla,3 weeks ago,,,https://www.speedrun.com/user/Maorro
149th,Rayzor,19m 39s 250ms,19m 40s 950ms,19m 40s 950ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/Rayzor
150th,Boscarvidios,19m 42s 730ms,19m 42s 730ms,19m 42s 730ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/Boscarvidios
151st,FinestPigeon,20m 04s 700ms,19m 44s 550ms,19m 44s 550ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/FinestPigeon
