Rank,Player,Real time,In-game time,Version,Difficulty,F3,Mods,Date,Unnamed: 9,Unnamed: 10,Unnamed: 11,userlink
1469th,SrDaxta,1h 02m 17s,1h 02m 17s,1h 02m 17s (in-game time),1.16.1,Normal,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/SrDaxta
1470th,ImmortalKnight,1h 01m 55s,1h 02m 24s,1h 02m 24s (in-game time),1.16.1,Easy,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/ImmortalKnight
1471st,kakratka,1h 02m 32s 700ms,1h 02m 32s 700ms,1h 02m 32s 700ms (in-game time),1.16.1,Normal,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/kakratka
1472nd,BrookeB07,1h 02m 38s 049ms,1h 02m 38s 049ms,1h 02m 38s 049ms (in-game time),1.16.1,Easy,F3,Vanilla,6 months ago,,,https://www.speedrun.com/user/BrookeB07
1473rd,Lobstar,1h 02m 52s,1h 02m 52s,1h 02m 52s (in-game time),1.16.1,Normal,F3,Optifine,8 months ago,,,https://www.speedrun.com/user/Lobstar
1474th,Zruler6,1h 03m 45s 010ms,1h 02m 59s 025ms,1h 02m 59s 025ms (in-game time),1.16.1,Easy,F3,Vanilla,4 months ago,,,https://www.speedrun.com/user/Zruler6
1475th,limoner,1h 03m 12s 300ms,1h 03m 12s 300ms,1h 03m 12s 300ms (in-game time),1.16.1,Easy,F3,Vanilla,8 months ago,,,https://www.speedrun.com/user/limoner
1476th,JoonFsh,1h 03m 15s 037ms,1h 03m 15s 037ms,1h 03m 15s 037ms (in-game time),1.16.1,Normal,F3,Vanilla,5 months ago,,,https://www.speedrun.com/user/JoonFsh
1477th,Bradleyyy,1h 03m 44s 043ms,1h 03m 37s 055ms,1h 03m 37s 055ms (in-game time),1.16.1,Easy,F3,CaffeineMC,5 months ago,,,https://www.speedrun.com/user/Bradleyyy
1478th,neboblako,1h 03m 39s,1h 03m 39s,1h 03m 39s (in-game time),1.16.1,Normal,F3,CaffeineMC,6 months ago,,,https://www.speedrun.com/user/neboblako
1479th,Chanxer,1h 03m 40s 033ms,1h 03m 40s 033ms,1h 03m 40s 033ms (in-game time),1.16.1,Easy,F3,Vanilla,4 months ago,,,https://www.speedrun.com/user/Chanxer
1480th,nodnarbiscool,1h 03m 46s 000ms,1h 03m 46s 000ms,1h 03m 46s 000ms (in-game time),1.16.1,Normal,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/nodnarbiscool
1481st,PauseUnpause,1h 03m 55s 080ms,1h 03m 55s 080ms,1h 03m 55s 080ms (in-game time),1.16.1,Easy,F3,Vanilla,5 months ago,,,https://www.speedrun.com/user/PauseUnpause
1482nd,CaptainPogg,1h 03m 56s 070ms,1h 03m 56s 070ms,1h 03m 56s 070ms (in-game time),1.16.2,Easy,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/CaptainPogg
1483rd,waermelown,1h 08m 04s,1h 04m 02s,1h 04m 02s (in-game time),1.16,Normal,F3,Vanilla,4 months ago,,,https://www.speedrun.com/user/waermelown
1484th,DudiHaas,1h 04m 34s 068ms,1h 04m 06s 065ms,1h 04m 06s 065ms (in-game time),1.16.1,Normal,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/DudiHaas
1485th,TinyPepito,1h 04m 06s 771ms,1h 04m 07s 750ms,1h 04m 07s 750ms (in-game time),1.16.1,Hardcore,F3,Vanilla,5 months ago,,,https://www.speedrun.com/user/TinyPepito
1486th,Loefars,1h 04m 12s 030ms,1h 04m 12s 030ms,1h 04m 12s 030ms (in-game time),1.16.1,Normal,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/Loefars
1487th,Soice,1h 04m 27s,1h 04m 17s,1h 04m 17s (in-game time),1.16.2,Normal,F3,CaffeineMC,7 months ago,,,https://www.speedrun.com/user/Soice
1488th,LlamaCheese,1h 04m 29s,1h 04m 29s,1h 04m 29s (in-game time),1.16.1,Normal,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/LlamaCheese
1489th,ZONEcold,1h 04m 43s 041ms,1h 04m 43s 041ms,1h 04m 43s 041ms (in-game time),1.16.1,Easy,F3,Vanilla,5 months ago,,,https://www.speedrun.com/user/ZONEcold
1490th,celestial,1h 04m 49s 070ms,1h 04m 45s 650ms,1h 04m 45s 650ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/celestial
1491st,Cultivo,1h 04m 53s 510ms,1h 04m 48s 300ms,1h 04m 48s 300ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Cultivo
1492nd,_mrfasT_YT,1h 06m 26s,1h 04m 55s 018ms,1h 04m 55s 018ms (in-game time),1.16.1,Normal,,Vanilla,4 months ago,,,https://www.speedrun.com/user/_mrfasT_YT
1493rd,Fartguy,1h 05m 07s,1h 05m 07s,1h 05m 07s (in-game time),1.16.1,Normal,F3,Optifine,7 months ago,,,https://www.speedrun.com/user/Fartguy
1494th,Vortexxed,1h 05m 17s,1h 05m 17s,1h 05m 17s (in-game time),1.16.1,Easy,F3,Optifine,8 months ago,,,https://www.speedrun.com/user/Vortexxed
1495th,ItsLenny,1h 05m 22s,1h 05m 24s,1h 05m 24s (in-game time),1.16.1,Normal,F3,CaffeineMC,7 months ago,,,https://www.speedrun.com/user/ItsLenny
1496th,CinnamonChurro,1h 05m 34s,1h 05m 34s,1h 05m 34s (in-game time),1.16.1,Normal,F3,Optifine,7 months ago,,,https://www.speedrun.com/user/CinnamonChurro
1497th,ElonMask,1h 06m 04s 180ms,1h 05m 44s 550ms,1h 05m 44s 550ms (in-game time),1.16.1,Normal,F3,Vanilla,6 months ago,,,https://www.speedrun.com/user/ElonMask
1498th,oaph,1h 05m 47s,1h 05m 47s,1h 05m 47s (in-game time),1.16.1,Normal,F3,Vanilla,8 months ago,,,https://www.speedrun.com/user/oaph
1499th,Smelino,1h 06m 09s,1h 05m 54s,1h 05m 54s (in-game time),1.16.4,Easy,F3,Vanilla,3 months ago,,,https://www.speedrun.com/user/Smelino
1500th,invaa2k,1h 05m 57s 460ms,1h 05m 57s 460ms,1h 05m 57s 460ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/invaa2k
1501st,Duccy,1h 06m 11s 015ms,1h 05m 59s 040ms,1h 05m 59s 040ms (in-game time),1.16.1,Easy,F3,Vanilla,3 months ago,,,https://www.speedrun.com/user/Duccy
1502nd,infernohalo,1h 06m 15s 080ms,1h 06m 02s 015ms,1h 06m 02s 015ms (in-game time),1.16.1,Normal,No F3,Vanilla,8 months ago,,,https://www.speedrun.com/user/infernohalo
1503rd,Deadpohl,1h 07m 21s 540ms,1h 06m 11s 400ms,1h 06m 11s 400ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Deadpohl
1504th,JarOfJam,1h 06m 40s 640ms,1h 06m 23s 550ms,1h 06m 23s 550ms (in-game time),1.16.1,Easy,F3,Vanilla,2 months ago,,,https://www.speedrun.com/user/JarOfJam
1505th,WifeHaver,1h 06m 24s 048ms,1h 06m 24s 048ms,1h 06m 24s 048ms (in-game time),1.16.1,Easy,F3,Vanilla,2 weeks ago,,,https://www.speedrun.com/user/WifeHaver
1506th,Ozmeyham,1h 08m 20s 440ms,1h 06m 33s 500ms,1h 06m 33s 500ms (in-game time),1.16.1,Normal,No F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/Ozmeyham
1507th,tommygun684,1h 06m 49s 097ms,1h 06m 38s 091ms,1h 06m 38s 091ms (in-game time),1.16.5,Easy,F3,Vanilla,1 week ago,,,https://www.speedrun.com/user/tommygun684
1508th,yuyu233,1h 07m 10s 442ms,1h 06m 54s,1h 06m 54s (in-game time),1.16.1,Easy,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/yuyu233
1509th,Demuno,1h 06m 58s 810ms,1h 06m 58s 810ms,1h 06m 58s 810ms (in-game time),1.16.1,Normal,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/Demuno
1510th,Schokay,1h 07m 13s 437ms,1h 07m 00s 250ms,1h 07m 00s 250ms (in-game time),1.16.2,Normal,F3,Vanilla,6 months ago,,,https://www.speedrun.com/user/Schokay
1511th,OldBoyDemon,1h 07m 18s 870ms,1h 07m 18s 870ms,1h 07m 18s 870ms (in-game time),1.16.3,Normal,F3,Vanilla,6 months ago,,,https://www.speedrun.com/user/OldBoyDemon
1512th,FogLife,1h 07m 44s 230ms,1h 07m 31s,1h 07m 31s (in-game time),1.16.1,Easy,F3,Vanilla,1 month ago,,,https://www.speedrun.com/user/FogLife
1513th,ItzSycro,1h 07m 39s 670ms,1h 07m 33s 750ms,1h 07m 33s 750ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/ItzSycro
1514th,LimDimSim,1h 08m 48s,1h 07m 33s 900ms,1h 07m 33s 900ms (in-game time),1.16.1,Easy,F3,Vanilla,8 months ago,,,https://www.speedrun.com/user/LimDimSim
1515th,Prevter,1h 07m 41s 040ms,1h 07m 41s 040ms,1h 07m 41s 040ms (in-game time),1.16.2,Easy,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/Prevter
1516th,olifrys,1h 07m 50s 099ms,1h 07m 47s 020ms,1h 07m 47s 020ms (in-game time),1.16.1,Easy,F3,Vanilla,3 months ago,,,https://www.speedrun.com/user/olifrys
1517th,exd,1h 19m 42s 500ms,1h 07m 50s 300ms,1h 07m 50s 300ms (in-game time),1.16.1,Easy,F3,Vanilla,4 months ago,,,https://www.speedrun.com/user/exd
1518th,jamerlmao,1h 07m 59s,1h 07m 59s,1h 07m 59s (in-game time),1.16.1,Normal,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/jamerlmao
1519th,Sethje103,1h 08m 00s,1h 08m 00s,1h 08m 00s (in-game time),1.16.1,Normal,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/Sethje103
1520th,Xarrow_Gaming,1h 08m 05s 010ms,1h 08m 05s 010ms,1h 08m 05s 010ms (in-game time),1.16.1,Normal,F3,Vanilla,7 months ago,,,https://www.speedrun.com/user/Xarrow_Gaming
1521st,tsu_tsu_cuckoo,1h 08m 23s 181ms,1h 08m 07s,1h 08m 07s (in-game time),1.16.1,Normal,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/tsu_tsu_cuckoo
1522nd,Bearet,1h 08m 09s 519ms,1h 08m 07s 750ms,1h 08m 07s 750ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Bearet
