Players,Real time,In-game time,Sub Version,Difficulty,F3,Mods,Date,Player
ElephEleph,21m 39s 267ms,21m 06s 600ms,1.16,1.16.1,Easy,F3,2021-03-28,Eleph
DjscipleDjsciple,21m 43s 030ms,21m 30s 065ms,1.16,1.16.1,Easy,F3,2021-05-03,Djsciple
NTklkNTklk,21m 55s 041ms,21m 40s 065ms,1.16,1.16.1,Normal,F3,2021-03-18,NTklk
PondMinerPondMiner,22m 25s 550ms,21m 46s 500ms,1.16,1.16.1,Easy,F3,2021-03-16,PondMiner
TannerThanhTannerThanh,21m 54s 016ms,21m 47s 020ms,1.0,1.16.1,Easy,F3,2021-03-28,TannerThanh
RandomSpeedrunnerRandomSpeedrunner,22m 05s 002ms,21m 55s 095ms,1.16,1.16.1,Normal,F3,2021-03-01,RandomSpeedrunner
q_s_101q_s_101,22m 00s,22m 00s,1.16,1.16.1,Easy,F3,2021-06-12,q_s_101
Booster12389Booster12389,22m 25s 058ms,22m 06s 068ms,1.16,1.16.1,Easy,F3,2021-05-06,Booster12389
S0GGYJ0HNS0NS0GGYJ0HNS0N,22m 24s 091ms,22m 23s 085ms,1.16,1.16.1,Easy,F3,2021-05-07,S0GGYJ0HNS0N
LarryJonesLarryJones,23m 01s 610ms,22m 32s,1.16,1.16.1,Easy,F3,2021-04-05,LarryJones
Ripple_1Ripple_1,22m 37s 650ms,22m 36s 300ms,1.16,1.16.1,Normal,F3,2021-04-13,Ripple_1
BinkisaurBinkisaur,22m 41s 633ms,22m 38s 800ms,1.16,1.16.1,Easy,F3,2021-04-30,Binkisaur
SINQSINQ,23m 24s 009ms,22m 39s 070ms,1.16,1.16.1,Easy,F3,2021-05-14,SINQ
redspecredspec,23m 28s,22m 44s,1.16,1.16.1,Easy,F3,2021-06-08,redspec
karli_kolumbus09karli_kolumbus09,23m 04s 290ms,22m 52s 100ms,1.16,1.16.1,Normal,F3,2021-04-15,karli_kolumbus09
PJOTERHDPJOTERHD,22m 58s 290ms,22m 52s 300ms,1.16,1.16.1,Easy,F3,2021-04-05,PJOTERHD
SantetramSantetram,22m 57s,22m 57s,1.16,1.16.1,Easy,F3,2021-04-17,Santetram
FachowiecFachowiec,22m 59s 010ms,22m 59s 010ms,1.16,1.16.1,Normal,F3,2021-03-02,Fachowiec
JawoJawo,23m 07s,23m 07s,1.16,1.16.1,Easy,F3,2021-04-23,Jawo
SteadStead,23m 26s 970ms,23m 25s 100ms,1.16,1.16.1,Easy,F3,2021-04-09,Stead
LoukandriosLoukandrios,23m 51s 020ms,23m 29s 350ms,1.16,1.16.1,Easy,F3,2021-03-19,Loukandrios
TenteProTentePro,23m 41s 990ms,23m 41s 600ms,1.16,1.16.1,Easy,F3,2021-04-11,TentePro
Shantastic93Shantastic93,24m 10s 120ms,23m 45s,1.16,1.16.1,Easy,F3,2021-05-14,Shantastic93
BigMonkBigMonk,23m 58s 940ms,23m 46s 750ms,1.16,1.16.1,Easy,F3,2021-04-23,BigMonk
EliTheGuy245EliTheGuy245,23m 47s 200ms,23m 47s 067ms,1.16,1.16.1,Easy,F3,2021-05-16,EliTheGuy245
ZombuseZombuse,24m 14s 180ms,23m 59s 350ms,1.16,1.16.1,Easy,F3,2021-04-12,Zombuse
RoiCouscousRoiCouscous,27m 00s 900ms,24m 08s 350ms,1.16,1.16.1,Easy,F3,2021-04-19,RoiCouscous
MarekTBSMarekTBS,24m 47s 043ms,24m 10s 030ms,1.16,1.16.1,Normal,F3,2021-04-24,MarekTBS
Jirka_CZ25Jirka_CZ25,24m 18s 740ms,24m 18s 740ms,1.16,1.16.1,Normal,F3,2021-03-03,Jirka_CZ25
Ran9er5Ran9er5,24m 37s 180ms,24m 21s 450ms,1.16,1.16.1,Normal,F3,2021-04-16,Ran9er5
qraqqraq,23m 42s 050ms,24m 29s,1.16,1.16.1,Easy,F3,2021-03-26,qraq
MunkeyVisionMunkeyVision,24m 42s 510ms,24m 30s 150ms,1.16,1.16.1,Easy,F3,2021-05-16,MunkeyVision
IntracloudIntracloud,24m 53s 290ms,24m 39s 500ms,1.16,1.16.1,Easy,F3,2021-04-16,Intracloud
OddFlexButOkOddFlexButOk,29m 56s 360ms,24m 47s 800ms,1.16,1.16.1,Easy,F3,2021-05-17,OddFlexButOk
S14AIRS14AIR,24m 56s 780ms,24m 56s 750ms,1.16,1.16.1,Easy,F3,2021-03-28,S14AIR
Iggy_gavrilovic41Iggy_gavrilovic41,25m 25s 960ms,25m 09s 200ms,1.16,1.16.1,Easy,F3,2021-04-12,Iggy_gavrilovic41
TolinnTolinn,25m 27s 900ms,25m 16s 500ms,1.16,1.16.1,Easy,F3,2021-03-08,Tolinn
kolegaoliwierkolegaoliwier,25m 40s 530ms,25m 22s 600ms,1.16,1.16.1,Normal,F3,2021-03-01,kolegaoliwier
AceLightning63AceLightning63,25m 50s 470ms,25m 34s 250ms,1.16,1.16.1,Easy,F3,2021-03-01,AceLightning63
tootToot2tootToot2,28m 46s 029ms,25m 35s 055ms,1.16,1.16.1,Easy,F3,2021-05-09,tootToot2
TheBigSpookyTheBigSpooky,25m 49s 060ms,25m 37s 020ms,1.16,1.16.1,Easy,F3,2021-03-19,TheBigSpooky
SyelentSyelent,25m 39s 830ms,25m 40s 300ms,1.16,1.16.1,Easy,F3,2021-03-14,Syelent
doodoodingodoodoodingo,25m 51s 000ms,25m 51s 000ms,1.16,1.16.1,Easy,F3,2021-06-12,doodoodingo
Mythic945Mythic945,26m 38s 583ms,25m 58s 850ms,1.16,1.16.1,Normal,F3,2021-03-26,Mythic945
ZaphewZaphew,26m 08s 910ms,26m 04s 600ms,1.16,1.16.1,Easy,F3,2021-04-09,Zaphew
DartDart,26m 10s 500ms,26m 05s 567ms,1.16,1.16.1,Easy,F3,2021-04-03,Dart
bookeyboi_bookeyboi_,26m 30s 022ms,26m 14s 030ms,1.16,1.16.1,Normal,F3,2021-06-14,bookeyboi_
Falso_SimpFalso_Simp,26m 43s 550ms,26m 30s 600ms,1.16,1.16.1,Easy,F3,2021-05-29,Falso_Simp
AaldorabiAaldorabi,,26m 41s 015ms,1.16,1.16.1,Easy,F3,2021-05-01,Aaldorabi
YoulQeyYoulQey,27m 07s 007ms,26m 57s 005ms,1.16,1.16.1,Easy,F3,2021-05-13,YoulQey
DElyMythDElyMyth,27m 13s 670ms,27m 13s 800ms,1.16,1.16.1,Easy,F3,2021-04-30,DElyMyth
isCrazyDice_unluckyisCrazyDice_unlucky,28m 01s,27m 15s 800ms,1.16,1.16.1,Easy,F3,2021-05-03,isCrazyDice_unlucky
FunDaOneFunDaOne,27m 28s 600ms,27m 16s 450ms,1.16,1.16.1,Easy,F3,2021-03-19,FunDaOne
TonmaiiiTonmaiii,28m 01s 280ms,27m 26s 050ms,1.16,1.16.1,Easy,F3,2021-04-16,Tonmaiii
AabhasDangerAabhasDanger,28m 16s 590ms,27m 26s 550ms,1.16,1.16.1,Easy,F3,2021-03-25,AabhasDanger
FlawlessDiamondFlawlessDiamond,27m 32s 040ms,27m 27s 850ms,1.16,1.16.1,Easy,F3,2021-03-11,FlawlessDiamond
KlownBirusHDXKlownBirusHDX,27m 59s 450ms,27m 34s 150ms,1.16,1.16.1,Easy,F3,2021-05-19,KlownBirusHDX
BruhsaltBruhsalt,28m 29s 083ms,27m 39s 350ms,1.16,1.16.1,Normal,F3,2021-03-13,Bruhsalt
lodilooplodiloop,27m 42s,27m 40s,1.16,1.16.1,Easy,F3,2021-05-08,lodiloop
RyAndGavRyAndGav,29m 26s 680ms,27m 42s 600ms,1.16,1.16.1,Easy,F3,2021-03-16,RyAndGav
shin3zshin3z,30m 20s 018ms,28m 29s 030ms,1.16,1.16.1,Easy,F3,2021-03-24,shin3z
BhuvBhuv,28m 40s 000ms,28m 35s 000ms,1.16,1.16.1,Easy,F3,2021-03-16,Bhuv
BonifaxBonifax,28m 51s 055ms,28m 41s 074ms,1.16,1.16.1,Normal,F3,2021-02-27,Bonifax
jajefanjajefan,28m 48s 037ms,28m 45s 035ms,1.16,1.16.1,Easy,F3,2021-05-22,jajefan
PebeteDeSamePebeteDeSame,29m 14s 150ms,28m 46s 500ms,1.16,1.16.1,Normal,F3,2021-04-01,PebeteDeSame
GoatownGoatown,28m 56s,28m 52s 095ms,1.16,1.16.1,Easy,F3,2021-05-07,Goatown
4dot44dot4,29m 19s,28m 55s 045ms,1.16,1.16.1,Easy,F3,2021-06-17,4dot4
Da76ithGrieferXDa76ithGrieferX,29m 03s 790ms,29m 03s 400ms,1.16,1.16.1,Normal,F3,2021-03-01,Da76ithGrieferX
treisdentesstreisdentess,29m 12s 960ms,29m 07s 100ms,1.16,1.16.1,Easy,F3,2021-03-20,treisdentess
ManulKamulManulKamul,29m 32s 057ms,29m 22s 065ms,1.16,1.16.1,Easy,F3,2021-05-20,ManulKamul
AndromedaAndromeda,31m 11s,29m 36s 800ms,1.16,1.16.1,Easy,F3,2021-05-04,Andromeda
MeguminWasTakenMeguminWasTaken,29m 41s 820ms,29m 40s 600ms,1.16,1.16.1,Easy,F3,2021-03-17,MeguminWasTaken
AxolotltvAxolotltv,30m 14s 560ms,29m 50s 650ms,1.16,1.16.1,Easy,F3,2021-04-20,Axolotltv
coloredvioletcoloredviolet,30m 31s,29m 52s 040ms,1.16,1.16.1,Easy,F3,2021-05-14,coloredviolet
DJ2470DJ2470,30m 15s 511ms,30m 04s 050ms,1.16,1.16.1,Easy,F3,2021-04-05,DJ2470
happyfaic72happyfaic72,30m 51s 000ms,30m 18s 000ms,1.16,1.16.1,Normal,F3,2021-04-22,happyfaic72
AneroTheRebornAneroTheReborn,30m 32s 038ms,30m 44s 060ms,1.16,1.16.1,Easy,F3,2021-05-09,AneroTheReborn
anuriananurian,32m 48s 470ms,32m 24s,1.16,1.16.1,Easy,F3,2021-04-17,anurian
Panic_does_speedrunsPanic_does_speedruns,33m 54s,32m 29s,1.16,1.16.1,Easy,F3,2021-05-04,Panic_does_speedruns
PenazasPenazas,32m 58s 870ms,32m 48s 100ms,1.16,1.16.1,Easy,F3,2021-04-12,Penazas
fuzbugfuzbug,33m 00s 094ms,32m 49s,1.16,1.16.1,Normal,F3,2021-02-27,fuzbug
Enwm_Enwm_,33m 59s 000ms,33m 06s 000ms,1.16,1.16.1,Hardcore,F3,2021-03-16,Enwm_
In0rkIn0rk,33m 31s 035ms,33m 10s 090ms,1.16,1.16.1,Easy,F3,2021-03-03,In0rk
Jailsongmc_01Jailsongmc_01,33m 32s 800ms,33m 22s 950ms,1.16,1.16.1,Easy,F3,2021-05-15,Jailsongmc_01
TheCANavigatorTheCANavigator,37m 59s 180ms,36m 54s 200ms,1.16,1.16.1,Easy,F3,2021-03-20,TheCANavigator
WrongoBongoWrongoBongo,39m 55s 098ms,39m 39s,1.16,1.16.1,Easy,F3,2021-05-30,WrongoBongo
Cheeser84Cheeser84,40m 16s 001ms,40m 01s 040ms,1.16,1.16.1,Easy,F3,2021-06-13,Cheeser84
noonnotsusnoonnotsus,41m 08s 059ms,41m 08s 059ms,1.16,1.16.1,Easy,F3,2021-06-06,noonnotsus
CursedOneCursedOne,41m 27s,41m 14s,1.0,1.16.1,Easy,F3,2021-03-15,CursedOne
krysoerkrysoer,42m 31s 040ms,42m 24s 600ms,1.16,1.16.1,Easy,F3,2021-03-02,krysoer
MathbookMathbook,43m 33s 930ms,43m 40s 650ms,1.16,1.16.1,Normal,F3,2021-03-20,Mathbook
shy_fryshy_fry,45m 17s 670ms,45m 17s 670ms,1.16,1.16.1,Easy,F3,2021-02-20,shy_fry
SplxxsshSplxxssh,50m 51s 033ms,49m 24s 025ms,1.16,1.16.1,Easy,F3,2021-02-20,Splxxssh
LastHelloLastHello,51m 09s 380ms,50m 08s 150ms,1.16,1.16.1,Easy,F3,2021-03-31,LastHello
AltonTealeafAltonTealeaf,52m 06s 600ms,51m 58s 600ms,1.16,1.16.1,Easy,F3,2021-02-13,AltonTealeaf
NetrotosNetrotos,54m 27s 000ms,54m 26s 000ms,1.16,1.16.1,Easy,No F3,2021-03-06,Netrotos
Ba1diBa1di,56m 31s 510ms,56m 31s 300ms,1.16,1.16.1,Easy,F3,2021-05-14,Ba1di
saltychip35saltychip35,1h 00m 14s 333ms,59m 23s,1.16,1.16.1,Easy,F3,2021-04-26,saltychip35
GoopyLeGrande1425GoopyLeGrande1425,1h 29m 04s,1h 29m 04s,1.16,1.16.1,Easy,F3,2021-02-24,GoopyLeGrande1425
