Players,Real time,In-game time,Sub Version,Difficulty,F3,Mods,Date,Player
Gork_YorchataGork_Yorchata,14m 21s 048ms,14m 12s 095ms,1.16,1.16.1,Normal,F3,2021-06-05,Gork_Yorchata
Drokzz_Drokzz_,14m 16s 300ms,14m 12s 533ms,1.16,1.16.1,Easy,F3,2021-04-17,Drokzz_
TheGrindGodTheGrindGod,15m 07s 069ms,14m 17s,1.16,1.16.1,Easy,F3,2021-05-19,TheGrindGod
VenDaX97VenDaX97,14m 29s 000ms,14m 18s 000ms,1.16,1.16.1,Easy,F3,2021-04-18,VenDaX97
OdogsterOdogster,14m 24s 910ms,14m 19s 450ms,1.16,1.16.1,Easy,F3,2021-05-05,Odogster
LuxikLuxik,14m 32s 533ms,14m 20s 083ms,1.16,1.16.1,Easy,F3,2021-04-07,Luxik
nitsujustinnitsujustin,14m 38s 300ms,14m 20s 400ms,1.16,1.16.1,Easy,F3,2021-04-05,nitsujustin
JetroJetro,14m 25s 075ms,14m 21s 030ms,1.6,1.16.1,Easy,F3,2021-06-13,Jetro
Chaosflo44Chaosflo44,14m 35s 470ms,14m 21s 600ms,1.16,1.16.1,Easy,F3,2021-03-27,Chaosflo44
Galaxy17Galaxy17,14m 22s 540ms,14m 21s 800ms,1.16,1.16.1,Easy,F3,2021-04-20,Galaxy17
clartclart,14m 28s 950ms,14m 22s,1.16,1.16.1,Easy,F3,2021-04-15,clart
BlueeeBlueee,14m 35s 810ms,14m 23s 600ms,1.16,1.16.1,Normal,F3,2021-05-21,Blueee
SplatmanWasTakenSplatmanWasTaken,14m 24s 088ms,14m 24s 088ms,1.16,1.16.1,Easy,F3,2021-06-12,SplatmanWasTaken
KozabyteKozabyte,14m 25s 810ms,14m 26s 100ms,1.16,1.16.1,Easy,F3,2021-04-11,Kozabyte
autuautu,14m 33s 048ms,14m 28s,1.16,1.16.1,Easy,F3,2021-04-17,autu
SkitekSkitek,14m 40s 850ms,14m 29s 350ms,1.16,1.16.1,Easy,F3,2021-03-18,Skitek
