Player,Real time,In-game time,Difficulty,F3,Mods,Date,userlink
bernus,24m 42s 030ms,24m 42s 030ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Kegmozo
Kegmozo,25m 50s,24m 42s 450ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/JustFl0
JustFl0,24m 42s 780ms,24m 42s 780ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Alantu
Alantu,25m 05s,24m 43s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/PresidentPoundcake
PresidentPoundcake,25m 09s 007ms,24m 43s 055ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Baseballhitter
Baseballhitter,25m 14s 980ms,24m 44s 050ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Soky
Soky,25m 28s 017ms,24m 44s 050ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Lathil
Lathil,25m 05s 960ms,24m 45s,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Dawenik
Dawenik,25m 36s 140ms,24m 45s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/OpayChamaday
OpayChamaday,24m 58s 060ms,24m 45s 050ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Sincol
Sincol,24m 59s 400ms,24m 45s 650ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/ManDace
ManDace,24m 54s 300ms,24m 45s 800ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/4bdu1
4bdu1,24m 49s 012ms,24m 46s 070ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/toadpimp
toadpimp,25m 04s 077ms,24m 47s 500ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/xcfy
xcfy,25m 07s 260ms,24m 47s 600ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/JustAnCow
JustAnCow,25m 04s 500ms,24m 48s 600ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Tomay0
Tomay0,24m 54s 350ms,24m 48s 650ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/OdiZ
OdiZ,24m 50s 089ms,24m 50s 089ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Max676
Max676,25m 13s 065ms,24m 54s 015ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/drvgxxn
drvgxxn,25m 15s 066ms,24m 54s 065ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Jack0fHearts
Jack0fHearts,25m 07s 970ms,24m 58s 055ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Wilageman
Wilageman,25m 12s 290ms,24m 58s 300ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Jakubus
Jakubus,24m 59s,24m 59s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Thatcheeseguy
Thatcheeseguy,25m 47s 800ms,25m 00s 300ms,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/Storm17
Storm17,25m 08s,25m 01s,1.16.1,Normal,F3,Vanilla,https://www.speedrun.com/user/Falsepog
Falsepog,25m 19s 470ms,25m 01s 850ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Boe6Eod7Nty
Boe6Eod7Nty,25m 43s 470ms,25m 04s 650ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/shadow_wolfwind
shadow_wolfwind,25m 59s 130ms,25m 06s 050ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/z3emxx
z3emxx,25m 42s 850ms,25m 06s 250ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/MarcusS07
MarcusS07,25m 37s 706ms,25m 06s 300ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/gabrielsand
gabrielsand,25m 27s 090ms,25m 06s 600ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/tinsoning
tinsoning,25m 33s 540ms,25m 06s 700ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/NoamMKW
NoamMKW,25m 19s 690ms,25m 08s 200ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/BradennZzz
BradennZzz,25m 47s 920ms,25m 08s 920ms,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/Rildom
Rildom,25m 22s 055ms,25m 09s 010ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Wilbor79
Wilbor79,25m 08s 520ms,25m 09s 200ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Pink_Raven
Pink_Raven,25m 26s 490ms,25m 10s,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/MrFeathery
MrFeathery,25m 30s 640ms,25m 10s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/dadusak
dadusak,25m 36s,25m 10s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Galactic
Galactic,25m 22s 066ms,25m 11s 005ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Desert_Yeti
Desert_Yeti,27m 38s 089ms,25m 11s 010ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Dandzel
Dandzel,25m 13s 330ms,25m 12s 400ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Leatherbarrow
Leatherbarrow,25m 23s 044ms,25m 13s 020ms,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/Tolinn
Tolinn,25m 48s 880ms,25m 13s 746ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Weesely
Weesely,25m 19s 560ms,25m 14s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Stoffe
Stoffe,25m 14s 062ms,25m 14s 062ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/overcomplexifii
overcomplexifii,25m 14s 170ms,25m 14s 170ms,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/NoobNotReal
NoobNotReal,26m 32s 120ms,25m 15s 430ms,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/autu
autu,25m 15s 450ms,25m 15s 550ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/SongGuSu
SongGuSu,26m 11s 440ms,25m 17s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/ByJoes
