Player,Real time,In-game time,Difficulty,F3,Mods,Date,userlink
Brentilda,11m 09s 667ms,9m 36s 933ms,1.16.1,Easy,F3,Vanilla,https://www.speedrun.comjavascript:
TheeSizzler,11m 20s 233ms,11m 07s,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Brentilda
Couriway,11m 40s 567ms,11m 15s 100ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/TheeSizzler
fe666,12m 37s 483ms,11m 50s 967ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Couriway
TwoLetterName,12m 15s 783ms,12m 09s 817ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/fe666
reignex,12m 55s 330ms,12m 38s 500ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/TwoLetterName
ninjabrain1,14m 00s 617ms,13m 06s 767ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/reignex
mmuffe,13m 52s 050ms,13m 19s 025ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/ninjabrain1
Umido,13m 56s 790ms,13m 28s 250ms,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/mmuffe
Hamazon,13m 46s 167ms,13m 37s 083ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Umido
zylenox,13m 39s,13m 39s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Hamazon
Dowsky,14m 15s 067ms,13m 41s 467ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/zylenox
TheBlazer97,14m 11s 883ms,13m 43s 250ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Dowsky
7rowl,14m 04s 860ms,13m 44s 550ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/TheBlazer97
realbenex,14m 04s 667ms,13m 47s 367ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/7rowl
Illumina,13m 58s,13m 53s,1.16.1,Normal,No F3,CaffeineMC,https://www.speedrun.com/user/realbenex
Bubbawid,14m 12s,13m 54s 100ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Illumina
SNooFL,14m 05s 190ms,13m 56s 550ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Bubbawid
NiceTwice,14m 13s 650ms,13m 59s 167ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/SNooFL
petr1234,14m 43s 217ms,14m 00s 050ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/NiceTwice
TheTalkingMime,14m 19s 200ms,14m 05s 967ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/petr1234
giyo_,14m 29s 467ms,14m 07s 250ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/TheTalkingMime
Silentmotorboat,14m 42s 167ms,14m 07s 833ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/giyo_
CredAhead,14m 22s 640ms,14m 09s 350ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Silentmotorboat
Feinberg,14m 17s 983ms,14m 10s 033ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/CredAhead
DECTHEELITE,14m 32s 317ms,14m 10s 450ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Feinberg
