;Username;Game;In-game-time;Date
2;Hinart;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 59s 150ms (in-game time) (181st place);16m 59s 150ms ();2021-04-09
3;Hinart;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 22s 700ms (in-game time) (- place);20m 22s 700ms ();2021-03-06
6;Hinart;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 47s 150ms (in-game time) (- place);20m 47s 150ms ();2021-01-22
7;Hinart;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 26m 07s 030ms (in-game time) (- place);26m 07s 030ms ();2020-11-29
