;Username;Game;In-game-time;Date
0;StainlessSteel;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 53s 800ms (in-game time) (270th place);17m 53s 800ms ();2021-02-09
1;StainlessSteel;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 00s 850ms (in-game time) (- place);19m 00s 850ms ();2021-01-21
2;StainlessSteel;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 39s 750ms (in-game time) (- place);21m 39s 750ms ();2020-12-30
3;StainlessSteel;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 26m 29s 070ms (in-game time) (- place);26m 29s 070ms ();2020-11-23
