;Username;Game;In-game-time;Date
3;TuCara9;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, No F3, CaffeineMC)						 19m 00s 350ms (in-game time) (368th place);19m 00s 350ms ();2021-06-17
4;TuCara9;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 42s 250ms (in-game time) (- place);23m 42s 250ms ();2021-02-14
5;TuCara9;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 06s 360ms (in-game time) (- place);27m 06s 360ms ();2021-01-27
