;Username;Game;In-game-time;Date
0;alanispro;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 12s 900ms (in-game time) (131st place);16m 12s 900ms ();2021-05-04
1;alanispro;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 12s 350ms (in-game time) (- place);19m 12s 350ms ();2021-03-04
2;alanispro;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 27s 550ms (in-game time) (- place);21m 27s 550ms ();2021-01-29
3;alanispro;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 17s 550ms (in-game time) (- place);25m 17s 550ms ();2021-01-09
4;alanispro;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 26m 26s 700ms (in-game time) (- place);26m 26s 700ms ();2020-12-17
