;Username;Game;In-game-time;Date
1;Hultaj;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 51s 650ms (in-game time) (265th place);17m 51s 650ms ();2021-04-23
2;Hultaj;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 24m 16s 150ms (in-game time) (- place);24m 16s 150ms ();2021-03-25
3;Hultaj;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 27m 24s 005ms (in-game time) (- place);27m 24s 005ms ();2021-02-16
