;Username;Game;In-game-time;Date
0;davidsochill;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 44s 050ms (in-game time) (344th place);18m 44s 050ms ();2021-03-03
1;davidsochill;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 20s 800ms (in-game time) (- place);23m 20s 800ms ();2021-01-12
2;davidsochill;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 26m 25s 300ms (in-game time) (- place);26m 25s 300ms ();2020-12-29
3;davidsochill;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 47m 39s 100ms (in-game time) (- place);47m 39s 100ms ();2020-10-11
