;Username;Game;In-game-time;Date
0;ImpulseFun;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 36s 500ms (in-game time) (157th place);16m 36s 500ms ();2021-03-12
1;ImpulseFun;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 16m 38s (in-game time) (- place);16m 38s ();2020-12-14
2;ImpulseFun;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 30m 07s 240ms (in-game time) (- place);30m 07s 240ms ();2020-11-16
