;Username;Game;In-game-time;Date
0;Unknwon;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 13s 500ms (in-game time) (392nd place);19m 13s 500ms ();2021-02-23
1;Unknwon;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 33s 300ms (in-game time) (- place);21m 33s 300ms ();2021-01-30
2;Unknwon;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 19s 550ms (in-game time) (- place);24m 19s 550ms ();2021-01-11
3;Unknwon;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 26m 56s 500ms (in-game time) (- place);26m 56s 500ms ();2020-11-20
4;Unknwon;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 28m 59s 140ms (in-game time) (- place);28m 59s 140ms ();2020-11-09
8;Unknwon;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 39m 22s 250ms (in-game time) (- place);39m 22s 250ms ();2020-10-07
9;Unknwon;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 41m 57s 650ms (in-game time) (- place);41m 57s 650ms ();2020-09-17
