;Username;Game;In-game-time;Date
0;ybot76;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 03s 450ms (in-game time) (374th place);19m 03s 450ms ();2021-05-20
1;ybot76;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 53s 370ms (in-game time) (- place);25m 53s 370ms ();2020-12-30
2;ybot76;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 35m 25s 680ms (in-game time) (- place);35m 25s 680ms ();2020-12-15
5;ybot76;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 47m 09s 000ms (in-game time) (- place);47m 09s 000ms ();2020-11-30
