;Username;Game;In-game-time;Date
0;Cpimtong;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 18s 090ms (in-game time) (140th place);16m 18s 090ms ();2021-05-06
1;Cpimtong;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 23m 35s 800ms (in-game time) (- place);23m 35s 800ms ();2021-01-31
3;Cpimtong;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 27m 33s 200ms (in-game time) (- place);27m 33s 200ms ();2021-01-19
