;Username;Game;In-game-time;Date
1;Daferade;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 05s 750ms (in-game time) (375th place);19m 05s 750ms ();2021-06-04
2;Daferade;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 40s 800ms (in-game time) (- place);19m 40s 800ms ();2021-05-23
8;Daferade;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 21s 150ms (in-game time) (- place);20m 21s 150ms ();2021-04-05
9;Daferade;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 52s 200ms (in-game time) (- place);21m 52s 200ms ();2021-03-23
10;Daferade;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 46s 450ms (in-game time) (- place);23m 46s 450ms ();2021-02-22
15;Daferade;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 28m 26s 085ms (in-game time) (- place);28m 26s 085ms ();2020-10-28
