;Username;Game;In-game-time;Date
0;gamer_nl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 53s 050ms (in-game time) (354th place);18m 53s 050ms ();2021-06-27
1;gamer_nl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 22s 450ms (in-game time) (- place);20m 22s 450ms ();2021-06-26
2;gamer_nl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 21s 850ms (in-game time) (- place);21m 21s 850ms ();2021-06-06
