;Username;Game;In-game-time;Date
0;7rowl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 13m 44s 550ms (in-game time) (26th place);13m 44s 550ms ();2021-04-16
3;7rowl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 17m 04s 617ms (in-game time) (- place);17m 04s 617ms ();2021-02-03
4;7rowl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 24m 06s 600ms (in-game time) (- place);24m 06s 600ms ();2020-12-22
