;Username;Game;In-game-time;Date
0;Blazing_Shade;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 01s 450ms (in-game time) (282nd place);18m 01s 450ms ();2021-05-26
1;Blazing_Shade;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 59s 600ms (in-game time) (- place);20m 59s 600ms ();2021-04-11
2;Blazing_Shade;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 29m 47s (in-game time) (- place);29m 47s ();2020-08-25
