;Username;Game;In-game-time;Date
0;boltdan;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 37s (in-game time) (158th place);16m 37s ();2021-05-24
1;boltdan;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 47s 050ms (in-game time) (- place);19m 47s 050ms ();2021-01-02
2;boltdan;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 26m 05s 010ms (in-game time) (- place);26m 05s 010ms ();2020-12-13
3;boltdan;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 28m 26s (in-game time) (- place);28m 26s ();2020-12-11
4;boltdan;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 32m 44s 036ms (in-game time) (- place);32m 44s 036ms ();2020-12-07
