;Username;Game;In-game-time;Date
0;Al3xanDE_15;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 46s 850ms (in-game time) (346th place);18m 46s 850ms ();2021-06-22
1;Al3xanDE_15;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 38s 400ms (in-game time) (- place);21m 38s 400ms ();2021-06-14
2;Al3xanDE_15;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 03s 200ms (in-game time) (- place);27m 03s 200ms ();2021-04-22
3;Al3xanDE_15;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 56m 04s 070ms (in-game time) (- place);56m 04s 070ms ();2021-01-22
