;Username;Game;In-game-time;Date
0;xlourx;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 28s 650ms (in-game time) (227th place);17m 28s 650ms ();2021-06-12
10;xlourx;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 22m 12s 450ms (in-game time) (- place);22m 12s 450ms ();2021-02-07
13;xlourx;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 24m 26s 100ms (in-game time) (- place);24m 26s 100ms ();2020-10-12
