;Username;Game;In-game-time;Date
0;Dratinia;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 29s 200ms (in-game time) (228th place);17m 29s 200ms ();2021-01-25
1;Dratinia;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 20m 53s 750ms (in-game time) (- place);20m 53s 750ms ();2021-01-11
2;Dratinia;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 31m 13s (in-game time) (- place);31m 13s ();2020-12-28
