;Username;Game;In-game-time;Date
0;PondMiner;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 49s 300ms (in-game time) (448th place);19m 49s 300ms ();2021-05-06
1;PondMiner;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 00s 010ms (in-game time) (- place);23m 00s 010ms ();2021-04-19
2;PondMiner;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 38s 150ms (in-game time) (- place);25m 38s 150ms ();2021-04-17
