;Username;Game;In-game-time;Date
3;Trizek;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 18m 56s (in-game time) (362nd place);18m 56s ();2021-03-13
4;Trizek;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 24m 41s 550ms (in-game time) (- place);24m 41s 550ms ();2021-02-08
5;Trizek;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 39m 09s 650ms (in-game time) (- place);39m 09s 650ms ();2021-02-01
