;Username;Game;In-game-time;Date
0;Boscarvidios;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 40s 500ms (in-game time) (249th place);17m 40s 500ms ();2021-06-25
2;Boscarvidios;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 18s 500ms (in-game time) (- place);19m 18s 500ms ();2021-06-20
19;Boscarvidios;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 42s 730ms (in-game time) (- place);19m 42s 730ms ();2020-11-15
22;Boscarvidios;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 02s 250ms (in-game time) (- place);23m 02s 250ms ();2020-10-05
27;Boscarvidios;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 33m 10s 380ms (in-game time) (- place);33m 10s 380ms ();2020-08-11
29;Boscarvidios;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Optifine)						 36m 29s 100ms (in-game time) (- place);36m 29s 100ms ();2020-08-07
32;Boscarvidios;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 42m 29s 550ms (in-game time) (- place);42m 29s 550ms ();2020-07-02
