;Username;Game;In-game-time;Date
0;NotAnEzRandy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 21s 800ms (in-game time) (217th place);17m 21s 800ms ();2021-03-03
1;NotAnEzRandy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 07s 800ms (in-game time) (- place);19m 07s 800ms ();2021-02-22
2;NotAnEzRandy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 51s 600ms (in-game time) (- place);20m 51s 600ms ();2021-01-28
3;NotAnEzRandy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 08s 500ms (in-game time) (- place);23m 08s 500ms ();2021-01-02
4;NotAnEzRandy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 26m 16s 546ms (in-game time) (- place);26m 16s 546ms ();2020-12-25
5;NotAnEzRandy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 58s 500ms (in-game time) (- place);27m 58s 500ms ();2020-10-26
6;NotAnEzRandy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 38m 16s 400ms (in-game time) (- place);38m 16s 400ms ();2020-10-06
7;NotAnEzRandy;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 41m 06s 600ms (in-game time) (- place);41m 06s 600ms ();2020-09-17
