;Username;Game;In-game-time;Date
0;TigerFTW;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 17m 42s 050ms (in-game time) (250th place);17m 42s 050ms ();2021-06-16
1;TigerFTW;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 25s 200ms (in-game time) (- place);19m 25s 200ms ();2021-04-30
2;TigerFTW;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 29s (in-game time) (- place);25m 29s ();2021-04-02
