;Username;Game;In-game-time;Date
2;OpsoG;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 49s 750ms (in-game time) (264th place);17m 49s 750ms ();2021-06-04
3;OpsoG;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 58s (in-game time) (- place);24m 58s ();2021-06-02
5;OpsoG;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 28m 42s (in-game time) (- place);28m 42s ();2021-05-17
6;OpsoG;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 29m 40s 250ms (in-game time) (- place);29m 40s 250ms ();2021-05-10
7;OpsoG;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 30m 22s 300ms (in-game time) (- place);30m 22s 300ms ();2021-05-09
9;OpsoG;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 34m 03s 095ms (in-game time) (- place);34m 03s 095ms ();2021-04-23
10;OpsoG;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 42m 01s 800ms (in-game time) (- place);42m 01s 800ms ();2021-04-21
