;Username;Game;In-game-time;Date
7;Slackow;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 17s (in-game time) (306th place);18m 17s ();2021-05-28
8;Slackow;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 55s 050ms (in-game time) (- place);18m 55s 050ms ();2021-04-27
10;Slackow;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 23s 500ms (in-game time) (- place);19m 23s 500ms ();2021-02-05
11;Slackow;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 24m 31s 300ms (in-game time) (- place);24m 31s 300ms ();2021-01-28
12;Slackow;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 29m 28s 800ms (in-game time) (- place);29m 28s 800ms ();2021-01-24
14;Slackow;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 34m 39s 550ms (in-game time) (- place);34m 39s 550ms ();2021-01-17
