;Username;Game;In-game-time;Date
2;KEYL000;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 16s 650ms (in-game time) (137th place);16m 16s 650ms ();2021-04-12
3;KEYL000;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 21s 650ms (in-game time) (- place);20m 21s 650ms ();2021-03-12
4;KEYL000;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 48s 300ms (in-game time) (- place);22m 48s 300ms ();2021-03-10
6;KEYL000;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 23m 35s 020ms (in-game time) (- place);23m 35s 020ms ();2020-09-20
