;Username;Game;In-game-time;Date
0;felipebtw;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 17m 54s 850ms (in-game time) (273rd place);17m 54s 850ms ();2021-02-09
3;felipebtw;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 14s 450ms (in-game time) (- place);23m 14s 450ms ();2020-12-14
4;felipebtw;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 42s 550ms (in-game time) (- place);27m 42s 550ms ();2020-11-16
