;Username;Game;In-game-time;Date
0;SmallestBeanie;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 42s 650ms (in-game time) (253rd place);17m 42s 650ms ();2021-02-21
1;SmallestBeanie;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 10s 550ms (in-game time) (- place);23m 10s 550ms ();2021-02-06
2;SmallestBeanie;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 24m 21s (in-game time) (- place);24m 21s ();2021-01-03
3;SmallestBeanie;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 35m 37s 065ms (in-game time) (- place);35m 37s 065ms ();2020-12-16
4;SmallestBeanie;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 56m 06s 220ms (in-game time) (- place);56m 06s 220ms ();2020-11-28
