;Username;Game;In-game-time;Date
0;blobserr;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, No F3, CaffeineMC)						 19m 28s 850ms (in-game time) (414th place);19m 28s 850ms ();2021-05-23
1;blobserr;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, No F3, CaffeineMC)						 20m 04s 300ms (in-game time) (- place);20m 04s 300ms ();2021-04-05
