;Username;Game;In-game-time;Date
0;Creppcrafter;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 34s 650ms (in-game time) (236th place);17m 34s 650ms ();2021-06-08
1;Creppcrafter;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 18s 750ms (in-game time) (- place);18m 18s 750ms ();2021-04-03
3;Creppcrafter;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 18s 950ms (in-game time) (- place);20m 18s 950ms ();2021-03-09
5;Creppcrafter;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 34s 015ms (in-game time) (- place);25m 34s 015ms ();2021-02-09
6;Creppcrafter;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 35m 13s 150ms (in-game time) (- place);35m 13s 150ms ();2021-01-20
7;Creppcrafter;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 47m 19s 054ms (in-game time) (- place);47m 19s 054ms ();2021-01-02
