;Username;Game;In-game-time;Date
3;Maljack;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 18s 267ms (in-game time) (83rd place);15m 18s 267ms ();2021-02-07
4;Maljack;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 49s 833ms (in-game time) (- place);15m 49s 833ms ();2021-01-29
5;Maljack;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 40s 065ms (in-game time) (- place);17m 40s 065ms ();2020-11-28
6;Maljack;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 29s 030ms (in-game time) (- place);25m 29s 030ms ();2020-11-24
7;Maljack;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 27m 15s 010ms (in-game time) (- place);27m 15s 010ms ();2020-11-19
