;Username;Game;In-game-time;Date
0;SpiffyCheese;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 47s 650ms (in-game time) (259th place);17m 47s 650ms ();2021-05-19
1;SpiffyCheese;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 02s 350ms (in-game time) (- place);22m 02s 350ms ();2021-05-15
2;SpiffyCheese;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 37s 450ms (in-game time) (- place);23m 37s 450ms ();2021-03-13
4;SpiffyCheese;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 25s 250ms (in-game time) (- place);27m 25s 250ms ();2021-03-06
8;SpiffyCheese;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 39m 48s 700ms (in-game time) (- place);39m 48s 700ms ();2021-02-02
