;Username;Game;In-game-time;Date
0;shdodude;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 47s 200ms (in-game time) (169th place);16m 47s 200ms ();2021-01-15
1;shdodude;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 43s 750ms (in-game time) (- place);19m 43s 750ms ();2021-01-05
2;shdodude;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 49s 400ms (in-game time) (- place);27m 49s 400ms ();2020-11-18
