;Username;Game;In-game-time;Date
0;leezaard;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 47s 250ms (in-game time) (170th place);16m 47s 250ms ();2021-04-12
1;leezaard;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 58s 550ms (in-game time) (- place);19m 58s 550ms ();2021-02-16
5;leezaard;Any% Glitchless - Random Seed, 1.16, PC							(1.16.1, Easy)						 22m 43s (12th place);22m 43s;2021-01-30
6;leezaard;Cooperative Any% Glitchless - Random Seed, 1.16							(1.16.1, Easy)							with VoxenVoxen  17m 51s (3rd place);17m 51s;2020-12-24
10;leezaard;Any% Glitchless - Random Seed, 1.16, PC							(1.16.20, Easy)						 24m 37s (- place);24m 37s;2020-10-07
27;leezaard;Any% Glitchless - Random Seed, 1.16, PC							(1.16.1, Easy)						 40m 30s (- place);40m 30s;2020-07-14
31;leezaard;Cooperative Any% Glitchless - Random Seed, 1.16							(1.16.1, Easy)							with VoxenVoxen  29m 54s (- place);29m 54s;2020-07-07
