;Username;Game;In-game-time;Date
0;Lum1n;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 20s 850ms (in-game time) (311th place);18m 20s 850ms ();2021-06-24
1;Lum1n;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 29m 23s 550ms (in-game time) (- place);29m 23s 550ms ();2021-04-26
2;Lum1n;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 37m 47s 030ms (in-game time) (- place);37m 47s 030ms ();2021-04-11
