;Username;Game;In-game-time;Date
11;nEmerald;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 31s 550ms (in-game time) (93rd place);15m 31s 550ms ();2021-04-16
12;nEmerald;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 07s 900ms (in-game time) (- place);16m 07s 900ms ();2021-04-08
13;nEmerald;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 17m 21s 650ms (in-game time) (- place);17m 21s 650ms ();2021-02-15
15;nEmerald;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 17m 45s 750ms (in-game time) (- place);17m 45s 750ms ();2021-01-17
16;nEmerald;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 21m 53s 100ms (in-game time) (- place);21m 53s 100ms ();2021-01-10
17;nEmerald;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 22m 09s 100ms (in-game time) (- place);22m 09s 100ms ();2020-12-31
18;nEmerald;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 24m 08s 700ms (in-game time) (- place);24m 08s 700ms ();2020-12-30
20;nEmerald;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 24m 40s 400ms (in-game time) (- place);24m 40s 400ms ();2020-10-24
21;nEmerald;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 27m 49s (in-game time) (- place);27m 49s ();2020-10-11
