;Username;Game;In-game-time;Date
0;zTheSwordMan;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 28s 500ms (in-game time) (90th place);15m 28s 500ms ();2021-05-11
1;zTheSwordMan;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 56s 900ms (in-game time) (- place);19m 56s 900ms ();2021-04-27
