;Username;Game;In-game-time;Date
16;Zayahh;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 50s 983ms (in-game time) (173rd place);16m 50s 983ms ();2021-02-16
17;Zayahh;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 37s 450ms (in-game time) (- place);20m 37s 450ms ();2021-01-28
18;Zayahh;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 33s 400ms (in-game time) (- place);22m 33s 400ms ();2021-01-17
20;Zayahh;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 23m 58s 150ms (in-game time) (- place);23m 58s 150ms ();2020-10-22
21;Zayahh;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 31m 59s 500ms (in-game time) (- place);31m 59s 500ms ();2020-09-30
22;Zayahh;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 36m 42s (in-game time) (- place);36m 42s ();2020-09-14
