;Username;Game;In-game-time;Date
0;YardsaleAce;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 41s (in-game time) (437th place);19m 41s ();2021-06-13
1;YardsaleAce;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 27s (in-game time) (- place);21m 27s ();2021-06-01
2;YardsaleAce;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 34s (in-game time) (- place);23m 34s ();2021-05-20
3;YardsaleAce;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 26m 24s 250ms (in-game time) (- place);26m 24s 250ms ();2021-04-03
