;Username;Game;In-game-time;Date
0;s8ris;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 32s 950ms (in-game time) (425th place);19m 32s 950ms ();2021-02-07
1;s8ris;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 58s 600ms (in-game time) (- place);24m 58s 600ms ();2021-01-03
