;Username;Game;In-game-time;Date
4;peet_jr;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 19m 14s 550ms (in-game time) (395th place);19m 14s 550ms ();2021-04-08
5;peet_jr;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 47s 500ms (in-game time) (- place);25m 47s 500ms ();2021-02-11
