;Username;Game;In-game-time;Date
1;SuperC;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 57s 550ms (in-game time) (179th place);16m 57s 550ms ();2021-02-20
3;SuperC;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 28m 49s (in-game time) (- place);28m 49s ();2021-01-03
