;Username;Game;In-game-time;Date
2;Omitts;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 54s 900ms (in-game time) (360th place);18m 54s 900ms ();2021-03-19
3;Omitts;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 11s 050ms (in-game time) (- place);25m 11s 050ms ();2021-01-21
