;Username;Game;In-game-time;Date
0;renz4short;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 07s 650ms (in-game time) (379th place);19m 07s 650ms ();2021-05-05
1;renz4short;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 48s 950ms (in-game time) (- place);22m 48s 950ms ();2021-03-22
2;renz4short;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 26m 34s 700ms (in-game time) (- place);26m 34s 700ms ();2021-03-06
