;Username;Game;In-game-time;Date
0;Horsey;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 14m 52s 700ms (in-game time) (66th place);14m 52s 700ms ();2021-04-26
1;Horsey;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 52s 240ms (in-game time) (- place);15m 52s 240ms ();2021-03-18
2;Horsey;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 21s 234ms (in-game time) (- place);16m 21s 234ms ();2021-02-07
3;Horsey;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 03s 800ms (in-game time) (- place);18m 03s 800ms ();2021-01-31
4;Horsey;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 22m 24s 550ms (in-game time) (- place);22m 24s 550ms ();2021-01-14
5;Horsey;Any% Glitchless - Random Seed, 1.16+							(1.16.1, F3, CaffeineMC)						 23m 19s (in-game time) (- place);23m 19s ();2020-12-15
