;Username;Game;In-game-time;Date
1;Lqaz;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 17m 53s (in-game time) (- place);17m 53s ();2021-05-23
2;Lqaz;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 17m 44s 100ms (in-game time) (255th place);17m 44s 100ms ();2021-05-23
4;Lqaz;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 18m 14s (in-game time) (- place);18m 14s ();2021-05-04
5;Lqaz;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 19m 15s 350ms (in-game time) (- place);19m 15s 350ms ();2021-04-11
