;Username;Game;In-game-time;Date
0;raddles;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 35s 900ms (in-game time) (240th place);17m 35s 900ms ();2021-04-05
5;raddles;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 39s 050ms (in-game time) (- place);23m 39s 050ms ();2020-12-30
7;raddles;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 28s 583ms (in-game time) (- place);24m 28s 583ms ();2020-12-09
8;raddles;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 28m 32s 043ms (in-game time) (- place);28m 32s 043ms ();2020-11-18
10;raddles;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 35m 41s 950ms (in-game time) (- place);35m 41s 950ms ();2020-11-11
11;raddles;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 47m 23s 083ms (in-game time) (- place);47m 23s 083ms ();2020-11-09
