;Username;Game;In-game-time;Date
0;TapL;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 17m 33s (in-game time) (234th place);17m 33s ();2021-06-02
1;TapL;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 23m 04s 200ms (in-game time) (- place);23m 04s 200ms ();2021-05-18
2;TapL;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 24m 42s (in-game time) (- place);24m 42s ();2021-05-03
3;TapL;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 24m 53s 800ms (in-game time) (- place);24m 53s 800ms ();2021-04-14
4;TapL;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 28m 13s 800ms (in-game time) (- place);28m 13s 800ms ();2021-04-10
