;Username;Game;In-game-time;Date
0;Melizsa;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 04s 550ms (in-game time) (284th place);18m 04s 550ms ();2021-04-29
2;Melizsa;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 39s 005ms (in-game time) (- place);20m 39s 005ms ();2021-03-20
3;Melizsa;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 44s 045ms (in-game time) (- place);25m 44s 045ms ();2021-02-13
4;Melizsa;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 31m 07s 200ms (in-game time) (- place);31m 07s 200ms ();2021-01-14
6;Melizsa;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 44m 30s 300ms (in-game time) (- place);44m 30s 300ms ();2020-12-23
7;Melizsa;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 48m 51s 300ms (in-game time) (- place);48m 51s 300ms ();2020-12-05
