;Username;Game;In-game-time;Date
0;Illumina;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 12m 10s 383ms (in-game time) (7th place);12m 10s 383ms ();2021-05-21
2;Illumina;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, No F3, CaffeineMC)						 13m 53s (in-game time) (- place);13m 53s ();2021-02-22
4;Illumina;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, No F3, CaffeineMC)						 17m 10s (in-game time) (- place);17m 10s ();2021-02-16
5;Illumina;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, No F3, Vanilla)						 19m 16s 450ms (in-game time) (- place);19m 16s 450ms ();2020-10-10
8;Illumina;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, No F3, Vanilla)						 21m 56s 750ms (in-game time) (- place);21m 56s 750ms ();2020-09-17
9;Illumina;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, No F3, Vanilla)						 24m 03s (in-game time) (- place);24m 03s ();2020-08-28
