;Username;Game;In-game-time;Date
3;DoyPingu;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 42s 400ms (in-game time) (252nd place);17m 42s 400ms ();2021-03-28
11;DoyPingu;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 18m 48s 450ms (in-game time) (- place);18m 48s 450ms ();2021-02-13
13;DoyPingu;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 19m 57s 800ms (in-game time) (- place);19m 57s 800ms ();2021-01-10
