;Username;Game;In-game-time;Date
0;BalleGaming;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 29s (in-game time) (321st place);18m 29s ();2021-05-28
1;BalleGaming;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 49s (in-game time) (- place);19m 49s ();2021-05-14
2;BalleGaming;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 13s (in-game time) (- place);21m 13s ();2021-05-03
3;BalleGaming;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 21m 51s 000ms (in-game time) (- place);21m 51s 000ms ();2021-03-31
4;BalleGaming;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 24m 47s 450ms (in-game time) (- place);24m 47s 450ms ();2021-03-21
