;Username;Game;In-game-time;Date
0;eedu;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 36s 900ms (in-game time) (241st place);17m 36s 900ms ();2021-05-11
1;eedu;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 39s 150ms (in-game time) (- place);17m 39s 150ms ();2021-04-28
2;eedu;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 03s 550ms (in-game time) (- place);21m 03s 550ms ();2021-04-20
3;eedu;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 20s 450ms (in-game time) (- place);21m 20s 450ms ();2021-03-15
4;eedu;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 31s 610ms (in-game time) (- place);24m 31s 610ms ();2021-03-12
5;eedu;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 29m 17s (in-game time) (- place);29m 17s ();2021-03-01
6;eedu;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 41m 58s (in-game time) (- place);41m 58s ();2021-01-23
