;Username;Game;In-game-time;Date
0;Veeeegard;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 18m 43s 900ms (in-game time) (342nd place);18m 43s 900ms ();2021-03-18
1;Veeeegard;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 22m 22s 200ms (in-game time) (- place);22m 22s 200ms ();2021-02-26
2;Veeeegard;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 49s 400ms (in-game time) (- place);25m 49s 400ms ();2021-01-15
