;Username;Game;In-game-time;Date
0;Semperzz;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 13s (in-game time) (79th place);15m 13s ();2021-05-21
1;Semperzz;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 20s 750ms (in-game time) (- place);16m 20s 750ms ();2021-03-26
2;Semperzz;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 26s 750ms (in-game time) (- place);17m 26s 750ms ();2021-02-06
3;Semperzz;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 17s 300ms (in-game time) (- place);18m 17s 300ms ();2021-01-28
4;Semperzz;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 39s 950ms (in-game time) (- place);19m 39s 950ms ();2021-01-24
5;Semperzz;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 56s 150ms (in-game time) (- place);20m 56s 150ms ();2021-01-10
6;Semperzz;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 28s 450ms (in-game time) (- place);24m 28s 450ms ();2021-01-06
