;Username;Game;In-game-time;Date
0;catJAM19;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 10s (in-game time) (128th place);16m 10s ();2021-06-05
1;catJAM19;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 06s 100ms (in-game time) (- place);17m 06s 100ms ();2021-05-19
2;catJAM19;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 20m 26s 800ms (in-game time) (- place);20m 26s 800ms ();2021-04-18
4;catJAM19;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 23m 23s 250ms (in-game time) (- place);23m 23s 250ms ();2021-04-06
5;catJAM19;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 27m 51s 050ms (in-game time) (- place);27m 51s 050ms ();2021-03-28
7;catJAM19;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 29m 10s (in-game time) (- place);29m 10s ();2021-03-17
8;catJAM19;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 32m 52s 900ms (in-game time) (- place);32m 52s 900ms ();2021-03-05
