;Username;Game;In-game-time;Date
0;temp_gd;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 25s 950ms (in-game time) (411th place);19m 25s 950ms ();2021-05-06
1;temp_gd;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 08s 650ms (in-game time) (- place);27m 08s 650ms ();2021-01-27
2;temp_gd;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 30m 52s 980ms (in-game time) (- place);30m 52s 980ms ();2020-12-03
